"Source:","/home/andrey/Downloads/Radio_SI4735-main/SI4735.kicad_sch"
"Date:","Сб 22 окт 2022 23:03:00"
"Tool:","Eeschema 6.0.2"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","42"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","10n","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"","","C2","22pF","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"","","C3","22pF","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"","","C4","20uF","Device:CP","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"","","C5","100nF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C6","470nF","Device:C","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"","","C7","33nF","Device:C","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"","","C8","20uF","Device:CP","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"","","C9","2.2uF","Device:C","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~"
"","","C10","2.2uF","Device:C","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~"
"","","C11","0.01uF","Device:C","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~"
"","","C12","0.01uF","Device:C","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~"
"","","C14","20uF","Device:CP","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"","","C15","20uF","Device:CP","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"","","D1","BAW75","Diode:BAW75","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85550/baw75.pdf"
"","","D2","BAW75","Diode:BAW75","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85550/baw75.pdf"
"","","D3","BAW75","Diode:BAW75","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85550/baw75.pdf"
"","","D4","BAW75","Diode:BAW75","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85550/baw75.pdf"
"","","J2","AM_IN","Connector:Conn_01x02_Male","Connector_Coaxial:SMA_Amphenol_901-143_Horizontal","~"
"","","J3","FM_IN","Connector:Conn_01x02_Male","Connector_Coaxial:SMA_Amphenol_901-143_Horizontal","~"
"","","J4","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
